name,run,generator,solver,optimizer,timelimit,workers,optimizer_threads,filename,c,rho,obj_value,best_bound,run_time,num_cuts,num_iterations,num_lp_cuts,max_cardinality,sol_cardinality
fbdp-d-1-thread,true,file_bilevel_diversity_problem,repoa,CPLEX,600,16,1,data/instance/GKD-d/GKD_d_4_n50_coor.txt,0.1,0,871.7519,871.7519,0.8275139331817627,30,30,0,5,5
fbdp-d-1-thread,true,file_bilevel_diversity_problem,repoa,CPLEX,600,16,1,data/instance/GKD-d/GKD_d_5_n1000_coor.txt,0.1,0,371493.80704,371493.8070400001,24.71353507041931,72,72,0,100,100
fbdp-d-1-thread,true,file_bilevel_diversity_problem,repoa,CPLEX,600,16,1,data/instance/GKD-d/GKD_d_5_n100_coor.txt,0.1,0,3764.39408,3764.39408,1.966275930404663,36,36,0,10,10
fbdp-d-1-thread,true,file_bilevel_diversity_problem,repoa,CPLEX,600,16,1,data/instance/GKD-d/GKD_d_5_n2000_coor.txt,0.1,0,1.5031005564299999e6,1.503101970559999e6,19.771169900894165,50,50,0,200,200
fbdp-d-1-thread,true,file_bilevel_diversity_problem,repoa,CPLEX,600,16,1,data/instance/GKD-d/GKD_d_5_n250_coor.txt,0.1,0,23348.958080000004,23348.958079999997,4.273916006088257,45,45,0,25,25
fbdp-d-1-thread,true,file_bilevel_diversity_problem,repoa,CPLEX,600,16,1,data/instance/GKD-d/GKD_d_5_n25_coor.txt,0.1,0,120.88333,120.88333,0.0728600025177002,16,16,0,2,2
fbdp-d-1-thread,true,file_bilevel_diversity_problem,repoa,CPLEX,600,16,1,data/instance/GKD-d/GKD_d_5_n500_coor.txt,0.1,0,91962.11392,91962.11391999999,2.08229398727417,37,37,0,50,50
fbdp-d-1-thread,true,file_bilevel_diversity_problem,repoa,CPLEX,600,16,1,data/instance/GKD-d/GKD_d_5_n50_coor.txt,0.1,0,887.17099,887.1709900000001,0.5534770488739014,24,24,0,5,5
fbdp-d-1-thread,true,file_bilevel_diversity_problem,repoa,CPLEX,600,16,1,data/instance/GKD-d/GKD_d_6_n1000_coor.txt,0.1,0,379212.77741,379212.7774099999,1.2678978443145752,22,22,0,100,100
fbdp-d-1-thread,true,file_bilevel_diversity_problem,repoa,CPLEX,600,16,1,data/instance/GKD-d/GKD_d_6_n100_coor.txt,0.1,0,3478.8325200000004,3478.83252,1.637923002243042,37,37,0,10,10
fbdp-d-1-thread,true,file_bilevel_diversity_problem,repoa,CPLEX,600,16,1,data/instance/GKD-d/GKD_d_6_n2000_coor.txt,0.1,0,1.50838101544e6,1.5083810154399995e6,5.623338937759399,34,34,0,200,200
fbdp-d-1-thread,true,file_bilevel_diversity_problem,repoa,CPLEX,600,16,1,data/instance/GKD-d/GKD_d_6_n250_coor.txt,0.1,0,23740.977310000002,23740.977309999995,1.3097891807556152,26,26,0,25,25
fbdp-d-1-thread,true,file_bilevel_diversity_problem,repoa,CPLEX,600,16,1,data/instance/GKD-d/GKD_d_6_n25_coor.txt,0.1,0,103.70357,103.70357,0.15721416473388672,24,24,0,2,2
fbdp-d-1-thread,true,file_bilevel_diversity_problem,repoa,CPLEX,600,16,1,data/instance/GKD-d/GKD_d_6_n500_coor.txt,0.1,0,95149.92442000001,95149.92441999998,1.9167377948760986,33,33,0,50,50
fbdp-d-1-thread,true,file_bilevel_diversity_problem,repoa,CPLEX,600,16,1,data/instance/GKD-d/GKD_d_6_n50_coor.txt,0.1,0,863.58098,863.5809800000001,0.43278002738952637,25,25,0,5,5
fbdp-d-1-thread,true,file_bilevel_diversity_problem,repoa,CPLEX,600,16,1,data/instance/GKD-d/GKD_d_7_n1000_coor.txt,0.1,0,375718.55553,375718.55553,1.7997291088104248,26,26,0,100,100
fbdp-d-1-thread,true,file_bilevel_diversity_problem,repoa,CPLEX,600,16,1,data/instance/GKD-d/GKD_d_7_n100_coor.txt,0.1,0,3689.332990000001,3689.33299,0.8546891212463379,29,29,0,10,10
fbdp-d-1-thread,true,file_bilevel_diversity_problem,repoa,CPLEX,600,16,1,data/instance/GKD-d/GKD_d_7_n2000_coor.txt,0.1,0,1.5066772116e6,1.5066784311299997e6,6.159649133682251,37,37,0,200,200
fbdp-d-1-thread,true,file_bilevel_diversity_problem,repoa,CPLEX,600,16,1,data/instance/GKD-d/GKD_d_7_n250_coor.txt,0.1,0,23336.37309,23336.37309,0.36457109451293945,19,19,0,25,25
fbdp-d-1-thread,true,file_bilevel_diversity_problem,repoa,CPLEX,600,16,1,data/instance/GKD-d/GKD_d_7_n25_coor.txt,0.1,0,109.2485,109.2485,0.10728096961975098,18,18,0,2,2
fbdp-d-1-thread,true,file_bilevel_diversity_problem,repoa,CPLEX,600,16,1,data/instance/GKD-d/GKD_d_7_n500_coor.txt,0.1,0,96618.05025,96618.05025,0.3915541172027588,16,16,0,50,50
fbdp-d-1-thread,true,file_bilevel_diversity_problem,repoa,CPLEX,600,16,1,data/instance/GKD-d/GKD_d_7_n50_coor.txt,0.1,0,890.5712599999999,890.5712599999999,0.2711048126220703,19,19,0,5,5
fbdp-d-1-thread,true,file_bilevel_diversity_problem,repoa,CPLEX,600,16,1,data/instance/GKD-d/GKD_d_8_n1000_coor.txt,0.1,0,381667.77496000007,381667.77495999984,7.2062599658966064,44,44,0,100,100
fbdp-d-1-thread,true,file_bilevel_diversity_problem,repoa,CPLEX,600,16,1,data/instance/GKD-d/GKD_d_8_n100_coor.txt,0.1,0,3473.04468,3473.0446800000004,3.197068929672241,43,43,0,10,10
fbdp-d-1-thread,true,file_bilevel_diversity_problem,repoa,CPLEX,600,16,1,data/instance/GKD-d/GKD_d_8_n2000_coor.txt,0.1,0,1.5211579405900002e6,1.52115890658e6,7.082370042800903,39,39,0,200,200
