name,run,generator,solver,optimizer,timelimit,workers,optimizer_threads,n,s,b,seed,obj_value,best_bound,run_time,num_cuts,num_iterations,num_lp_cuts,max_cardinality,sol_cardinality
rcdp-1-thread,true,random_capacitated_diversity_problem,repoa,CPLEX,600,16,1,2500,10,0.2,43,8.024900137629066e7,8.024900137629075e7,0.34789395332336426,4,4,0,1115,1113
rcdp-1-thread,true,random_capacitated_diversity_problem,repoa,CPLEX,600,16,1,2500,10,0.2,44,7.78895910427444e7,7.788959104274437e7,0.9497261047363281,4,4,0,1101,1099
rcdp-1-thread,true,random_capacitated_diversity_problem,repoa,CPLEX,600,16,1,2500,10,0.2,45,8.008325401433344e7,8.008325401433344e7,1.10036301612854,5,5,0,1113,1111
rcdp-1-thread,true,random_capacitated_diversity_problem,repoa,CPLEX,600,16,1,3000,10,0.2,46,1.1810666804029137e8,1.1810666804029125e8,0.5164601802825928,3,3,0,1358,1355
rcdp-1-thread,true,random_capacitated_diversity_problem,repoa,CPLEX,600,16,1,3000,10,0.2,47,1.1544221983764625e8,1.1544222960862298e8,0.6404829025268555,4,4,0,1337,1334
rcdp-1-thread,true,random_capacitated_diversity_problem,repoa,CPLEX,600,16,1,3000,10,0.2,48,1.1708577398892541e8,1.1708577398892538e8,0.8448128700256348,4,4,0,1351,1348
rcdp-1-thread,true,random_capacitated_diversity_problem,repoa,CPLEX,600,16,1,3000,10,0.2,49,1.1661015131091169e8,1.1661020573819645e8,0.8986818790435791,7,7,0,1343,1340
rcdp-1-thread,true,random_capacitated_diversity_problem,repoa,CPLEX,600,16,1,3000,10,0.2,50,1.1524070056200413e8,1.1524070056200427e8,0.27679014205932617,3,3,0,1334,1331
rcdp-1-thread,true,random_capacitated_diversity_problem,repoa,CPLEX,600,16,1,1000,20,0.2,51,1.850421386822352e7,1.8504213868223514e7,0.11088895797729492,3,3,0,451,450
rcdp-1-thread,true,random_capacitated_diversity_problem,repoa,CPLEX,600,16,1,1000,20,0.2,52,1.8679647402236123e7,1.867964740223612e7,0.09849286079406738,3,3,0,450,450
rcdp-1-thread,true,random_capacitated_diversity_problem,repoa,CPLEX,600,16,1,1000,20,0.2,53,1.7729551030396376e7,1.7729551030396376e7,0.10341215133666992,3,3,0,440,440
rcdp-1-thread,true,random_capacitated_diversity_problem,repoa,CPLEX,600,16,1,1000,20,0.2,54,1.7311380404711507e7,1.7311380404711515e7,0.15520000457763672,3,3,0,436,436
rcdp-1-thread,true,random_capacitated_diversity_problem,repoa,CPLEX,600,16,1,1000,20,0.2,55,1.872783414903023e7,1.872783414903024e7,0.14186501502990723,4,4,0,452,452
rcdp-1-thread,true,random_capacitated_diversity_problem,repoa,CPLEX,600,16,1,1500,20,0.2,56,4.110107118908447e7,4.110107388603402e7,0.3680300712585449,3,3,0,669,669
rcdp-1-thread,true,random_capacitated_diversity_problem,repoa,CPLEX,600,16,1,1500,20,0.2,57,4.147181184123744e7,4.147181184123742e7,0.4099240303039551,3,3,0,673,672
rcdp-1-thread,true,random_capacitated_diversity_problem,repoa,CPLEX,600,16,1,1500,20,0.2,58,4.147831606769592e7,4.147831606769586e7,0.5118391513824463,7,7,0,673,672
rcdp-1-thread,true,random_capacitated_diversity_problem,repoa,CPLEX,600,16,1,1500,20,0.2,59,4.041630216430436e7,4.041630216430434e7,0.273892879486084,3,3,0,665,664
rcdp-1-thread,true,random_capacitated_diversity_problem,repoa,CPLEX,600,16,1,1500,20,0.2,60,4.239553112131189e7,4.23955311213119e7,0.6028552055358887,6,6,0,680,679
rcdp-1-thread,true,random_capacitated_diversity_problem,repoa,CPLEX,600,16,1,2000,20,0.2,61,7.46314607088343e7,7.46314607088343e7,0.3179049491882324,4,4,0,903,902
rcdp-1-thread,true,random_capacitated_diversity_problem,repoa,CPLEX,600,16,1,2000,20,0.2,62,7.362478925259656e7,7.362478925259665e7,0.1785869598388672,3,3,0,899,899
rcdp-1-thread,true,random_capacitated_diversity_problem,repoa,CPLEX,600,16,1,2000,20,0.2,63,7.394755827697292e7,7.394755827697293e7,0.21809005737304688,3,3,0,898,897
rcdp-1-thread,true,random_capacitated_diversity_problem,repoa,CPLEX,600,16,1,2000,20,0.2,64,7.4651688998654e7,7.465168899865359e7,1.4339818954467773,3,3,0,904,904
rcdp-1-thread,true,random_capacitated_diversity_problem,repoa,CPLEX,600,16,1,2000,20,0.2,65,6.962664573873323e7,6.962664573873323e7,0.1655881404876709,3,3,0,871,871
rcdp-1-thread,true,random_capacitated_diversity_problem,repoa,CPLEX,600,16,1,2500,20,0.2,66,1.1571837916463353e8,1.157183791646335e8,0.6725759506225586,3,3,0,1124,1123
rcdp-1-thread,true,random_capacitated_diversity_problem,repoa,CPLEX,600,16,1,2500,20,0.2,67,1.1800966736722578e8,1.1800975869610275e8,0.6462221145629883,6,6,0,1133,1132
rcdp-1-thread,true,random_capacitated_diversity_problem,repoa,CPLEX,600,16,1,2500,20,0.2,68,1.148081983554311e8,1.1480819835543096e8,0.3773009777069092,3,3,0,1119,1119
rcdp-1-thread,true,random_capacitated_diversity_problem,repoa,CPLEX,600,16,1,2500,20,0.2,69,1.1416945611417463e8,1.1416945611417459e8,0.4537320137023926,3,3,0,1119,1118
rcdp-1-thread,true,random_capacitated_diversity_problem,repoa,CPLEX,600,16,1,2500,20,0.2,70,1.1486767059956023e8,1.1486767059956017e8,0.31669187545776367,4,4,0,1124,1123
rcdp-1-thread,true,random_capacitated_diversity_problem,repoa,CPLEX,600,16,1,3000,20,0.2,71,1.6277186504458702e8,1.627718650445868e8,0.41432905197143555,4,4,0,1334,1332
rcdp-1-thread,true,random_capacitated_diversity_problem,repoa,CPLEX,600,16,1,3000,20,0.2,72,1.6483912633753258e8,1.6483912633753258e8,0.6592800617218018,4,4,0,1342,1341
