name,run,generator,solver,optimizer,timelimit,workers,optimizer_threads,num,coords,demand_ratio,cost_ratio,seed,obj_value,best_bound,run_time,num_cuts,num_iterations,num_lp_cuts,max_cardinality,sol_cardinality
rgdp-1-thread,true,random_generalized_diversity_problem,repoa,CPLEX,600,4,1,1000,10,0.1,0.1,64,3.0250817272989623e7,3.0250817272989593e7,1.1542139053344727,3,3,0,687,686
rgdp-1-thread,true,random_generalized_diversity_problem,repoa,CPLEX,600,4,1,1000,10,0.1,0.1,65,3.018404306699202e7,3.0184043066992067e7,0.8715670108795166,4,4,0,685,684
rgdp-1-thread,true,random_generalized_diversity_problem,repoa,CPLEX,600,4,1,1500,10,0.1,0.1,66,6.802382571879727e7,6.802382571879739e7,0.6383850574493408,3,3,0,1028,1027
rgdp-1-thread,true,random_generalized_diversity_problem,repoa,CPLEX,600,4,1,1500,10,0.1,0.1,67,6.519243567063585e7,6.5192435670635864e7,0.5712869167327881,3,3,0,1007,1006
rgdp-1-thread,true,random_generalized_diversity_problem,repoa,CPLEX,600,4,1,1500,10,0.1,0.1,68,6.6124277610388584e7,6.612427761038851e7,1.3845579624176025,3,3,0,1011,1009
rgdp-1-thread,true,random_generalized_diversity_problem,repoa,CPLEX,600,4,1,1500,10,0.1,0.1,69,6.636030920173822e7,6.636033487531121e7,7.61992883682251,5,5,0,1016,1015
rgdp-1-thread,true,random_generalized_diversity_problem,repoa,CPLEX,600,4,1,1500,10,0.1,0.1,70,6.689221358894637e7,6.689221358894643e7,0.5270891189575195,4,4,0,1019,1018
rgdp-1-thread,true,random_generalized_diversity_problem,repoa,CPLEX,600,4,1,2000,10,0.1,0.1,71,1.1355512050651559e8,1.1355512050651568e8,4.660938024520874,3,3,0,1332,1330
rgdp-1-thread,true,random_generalized_diversity_problem,repoa,CPLEX,600,4,1,2000,10,0.1,0.1,72,1.1631722980345857e8,1.1631722980345863e8,2.1933209896087646,5,5,0,1347,1345
rgdp-1-thread,true,random_generalized_diversity_problem,repoa,CPLEX,600,4,1,2000,10,0.1,0.1,73,1.1672357349288118e8,1.1672357349288101e8,2.919363021850586,3,3,0,1348,1346
rgdp-1-thread,true,random_generalized_diversity_problem,repoa,CPLEX,600,4,1,2000,10,0.1,0.1,74,1.2176841618672396e8,1.217685340926247e8,1.7661340236663818,3,3,0,1379,1377
rgdp-1-thread,true,random_generalized_diversity_problem,repoa,CPLEX,600,4,1,2000,10,0.1,0.1,75,1.1819086631584255e8,1.1819093503382239e8,1.9029409885406494,4,4,0,1355,1353
rgdp-1-thread,true,random_generalized_diversity_problem,repoa,CPLEX,600,4,1,1000,20,0.1,0.1,76,4.182385286068435e7,4.182385286068437e7,0.8068890571594238,5,5,0,677,677
rgdp-1-thread,true,random_generalized_diversity_problem,repoa,CPLEX,600,4,1,1000,20,0.1,0.1,77,4.1830442863000475e7,4.183044286300049e7,0.3662581443786621,3,3,0,678,678
rgdp-1-thread,true,random_generalized_diversity_problem,repoa,CPLEX,600,4,1,1000,20,0.1,0.1,78,4.198457221676486e7,4.198457221676479e7,0.9389760494232178,3,3,0,676,676
rgdp-1-thread,true,random_generalized_diversity_problem,repoa,CPLEX,600,4,1,1000,20,0.1,0.1,79,4.266648734137394e7,4.2666496381104454e7,2.347543954849243,4,4,0,682,681
rgdp-1-thread,true,random_generalized_diversity_problem,repoa,CPLEX,600,4,1,1000,20,0.1,0.1,80,4.123637943741411e7,4.1236379437414095e7,0.80936598777771,4,4,0,671,671
rgdp-1-thread,true,random_generalized_diversity_problem,repoa,CPLEX,600,4,1,1500,20,0.1,0.1,81,9.792738944110489e7,9.792738944110496e7,2.3742918968200684,3,3,0,1035,1034
rgdp-1-thread,true,random_generalized_diversity_problem,repoa,CPLEX,600,4,1,1500,20,0.1,0.1,82,9.450363577679217e7,9.450363577679223e7,8.9323148727417,4,4,0,1017,1016
rgdp-1-thread,true,random_generalized_diversity_problem,repoa,CPLEX,600,4,1,1500,20,0.1,0.1,83,9.241258580657315e7,9.241258580657323e7,2.574951171875,6,6,0,1004,1003
rgdp-1-thread,true,random_generalized_diversity_problem,repoa,CPLEX,600,4,1,1500,20,0.1,0.1,84,9.367425221052268e7,9.367429288194913e7,0.9949839115142822,4,4,0,1013,1012
rgdp-1-thread,true,random_generalized_diversity_problem,repoa,CPLEX,600,4,1,1500,20,0.1,0.1,85,9.45802852482694e7,9.458028524826926e7,1.5395159721374512,3,3,0,1018,1017
rgdp-1-thread,true,random_generalized_diversity_problem,repoa,CPLEX,600,4,1,2000,20,0.1,0.1,86,1.7678977504677802e8,1.7678977243255156e8,2.397653102874756,3,3,0,1390,1390
rgdp-1-thread,true,random_generalized_diversity_problem,repoa,CPLEX,600,4,1,2000,20,0.1,0.1,87,1.6364990550850803e8,1.6364990550850815e8,1.1969170570373535,4,4,0,1339,1338
rgdp-1-thread,true,random_generalized_diversity_problem,repoa,CPLEX,600,4,1,2000,20,0.1,0.1,88,1.660453493143709e8,1.660453493143709e8,1.9423251152038574,4,4,0,1350,1349
rgdp-1-thread,true,random_generalized_diversity_problem,repoa,CPLEX,600,4,1,2000,20,0.1,0.1,89,1.6883356988918662e8,1.6883356988918638e8,6.827418804168701,5,5,0,1361,1360
rgdp-1-thread,true,random_generalized_diversity_problem,repoa,CPLEX,600,4,1,2000,20,0.1,0.1,90,1.705077424168892e8,1.705077424168893e8,3.061332941055298,3,3,0,1366,1365
rgdp-1-thread,true,random_generalized_diversity_problem,repoa,CPLEX,600,4,1,1000,2,0.05,0.2,91,2.3413416466536254e7,2.3413416466536283e7,0.3177340030670166,3,3,0,944,941
rgdp-1-thread,true,random_generalized_diversity_problem,repoa,CPLEX,600,4,1,1000,2,0.05,0.2,92,2.3193163113969207e7,2.3193164307104908e7,0.733612060546875,5,5,0,942,940
rgdp-1-thread,true,random_generalized_diversity_problem,repoa,CPLEX,600,4,1,1000,2,0.05,0.2,93,2.32313729905765e7,2.3231372990576483e7,1.1510021686553955,4,4,0,934,933
rgdp-1-thread,true,random_generalized_diversity_problem,repoa,CPLEX,600,4,1,1000,2,0.05,0.2,94,2.347618791344465e7,2.3476187913444627e7,0.6272420883178711,4,4,0,944,940
rgdp-1-thread,true,random_generalized_diversity_problem,repoa,CPLEX,600,4,1,1000,2,0.05,0.2,95,2.366735513529701e7,2.366735513529701e7,0.7169959545135498,4,4,0,950,947
rgdp-1-thread,true,random_generalized_diversity_problem,repoa,CPLEX,600,4,1,1500,2,0.05,0.2,96,5.468645281964275e7,5.468645281964277e7,0.3995950222015381,3,3,0,1432,1428
rgdp-1-thread,true,random_generalized_diversity_problem,repoa,CPLEX,600,4,1,1500,2,0.05,0.2,97,5.2903700803962596e7,5.2903700803962536e7,0.7096869945526123,4,4,0,1411,1407
rgdp-1-thread,true,random_generalized_diversity_problem,repoa,CPLEX,600,4,1,1500,2,0.05,0.2,98,5.1833694422354646e7,5.18337128614436e7,0.5625660419464111,3,3,0,1401,1397
rgdp-1-thread,true,random_generalized_diversity_problem,repoa,CPLEX,600,4,1,1500,2,0.05,0.2,99,5.411857899912491e7,5.411857899912499e7,0.80513596534729,4,4,0,1429,1425
